,"Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)","Population living in urban areas (%)"
"Belize","51.0","47.6","44.5","43.6","45.0","47.7","47.5","49.4","51.0","54.0","55.3"
"Benin","61.3","56.4","51.3","46.3","41.9","38.3","34.5","27.3","16.7","9.3","5.0"
"Bhutan","55.0","51.7","47.9","42.2","34.8","25.4","16.4","10.1","6.1","3.6","2.1"
"Bolivia (Plurinational State of)","79.4","76.7","73.8","70.4","66.4","61.8","55.6","45.5","39.8","36.8","33.8"
"Bosnia and Herzegovina","55.2","49.9","44.6","40.8","39.2","39.3","39.2","35.5","27.2","19.0","13.7"
"Botswana","69.9","66.1","62.2","58.9","56.2","53.2","41.9","16.5","7.8","3.1","2.7"
"Brazil","91.0","89.9","88.6","86.8","84.3","81.2","73.9","65.5","55.9","46.1","36.2"
"Brunei Darussalam","84.0","82.4","80.7","78.6","75.5","71.2","65.8","59.9","61.7","43.4","26.8"
"Bulgaria","82.8","80.7","78.3","75.5","72.3","68.9","66.4","62.1","52.3","37.1","27.6"
"Burkina Faso","52.0","46.5","41.0","33.9","25.7","17.8","13.8","8.8","5.7","4.7","3.8"
"Burundi","26.3","21.5","17.3","13.6","10.6","8.2","6.3","4.3","2.8","2.1","1.7"
"C̫te d'Ivoire","70.9","67.1","63.0","57.5","50.6","43.5","39.3","36.8","28.2","17.7","10.0"
"Cabo Verde","77.6","75.5","73.0","68.6","61.8","53.4","44.1","23.5","19.6","16.7","14.2"
"Cambodia","36.2","30.6","25.6","22.0","19.8","18.6","15.5","9.9","16.0","10.3","10.2"
"Cameroon","70.0","66.1","62.0","57.1","51.5","45.5","39.7","31.9","20.3","13.9","9.3"
"Canada","87.6","86.1","84.5","82.7","80.9","79.5","76.6","75.7","75.7","69.1","60.9"
"Central African Republic","56.9","51.6","46.3","41.7","38.8","37.6","36.8","33.9","27.5","20.1","14.4"
"Chad","37.1","31.5","26.6","23.4","22.0","21.6","20.8","18.8","11.6","6.7","4.5"
"Chile","93.1","92.3","91.4","90.3","88.6","86.1","83.3","81.2","75.2","67.8","58.4"
"China","75.8","72.8","68.7","61.0","49.2","35.9","26.4","19.4","17.4","16.2","11.8"
"Colombia","84.3","82.4","80.2","77.8","75.0","72.1","68.3","62.1","54.8","45.0","32.7"
"Comoros","38.2","34.8","31.5","29.0","27.9","28.1","27.9","23.2","19.4","12.6","6.6"
"Congo","77.2","74.3","71.1","67.4","63.2","58.7","54.3","47.9","39.1","31.6","24.9"
"Cook Islands","81.6","79.9","77.9","75.7","73.3","65.2","57.7","53.8","53.3","46.5","38.0"
"Costa Rica","88.6","87.2","85.2","80.6","71.7","59.0","50.0","43.1","38.8","34.3","33.5"
"Croatia","72.3","68.6","64.6","60.7","57.5","55.6","54.0","50.1","40.2","30.2","22.3"
"Cuba","83.4","81.4","79.3","77.7","76.6","75.3","73.4","68.1","60.3","58.4","56.5"
"Cyprus","72.1","69.6","67.4","66.7","67.6","68.6","66.8","58.6","40.8","35.6","28.4"
"Czech Republic","79.3","76.8","74.3","73.1","73.3","74.0","75.2","75.2","64.4","59.5","54.2"
"Democratic Republic of the Congo","60.4","55.5","50.4","45.1","39.9","35.1","30.6","27.1","24.6","22.3","19.1"
"Denmark","91.9","91.0","89.9","88.5","86.8","85.1","84.8","83.7","79.7","73.7","68.0"
"Djibouti","82.7","81.0","79.2","77.8","77.0","76.5","76.0","72.1","61.8","50.3","39.8"
"Dominica","77.8","75.7","73.5","70.9","68.1","65.3","63.1","46.8","38.7","37.8","34.7"
"Dominican Republic","90.1","88.9","87.2","82.8","73.8","61.7","55.2","51.3","40.2","30.2","23.7"
"Ecuador","74.5","71.3","67.9","65.0","62.7","60.3","55.1","47.0","39.3","33.9","28.3"
"Egypt","56.5","51.4","46.7","43.8","43.0","42.8","43.5","43.9","41.5","37.9","31.9"
"El Salvador","78.5","75.7","72.7","69.0","64.3","58.9","49.2","44.1","39.4","38.3","36.5"
"Equatorial Guinea","50.9","47.4","44.0","41.0","39.2","38.8","34.7","27.9","27.0","25.5","15.5"
"Eritrea","42.1","35.9","30.2","25.0","20.6","17.6","15.8","14.4","12.6","9.8","7.1"
"Estonia","72.7","70.3","68.1","67.3","68.1","69.4","71.2","69.7","64.9","57.5","49.7"
"Ethiopia","37.6","32.1","26.8","21.8","17.3","14.7","12.6","10.4","8.6","6.4","4.6"
"Fiji","65.0","62.0","59.0","55.6","51.8","47.9","41.6","37.8","34.8","29.7","24.4"
"Finland","89.1","87.8","86.3","84.9","83.6","82.2","79.4","71.7","63.7","55.3","43.0"
"France","86.3","84.6","82.7","80.6","78.3","75.9","74.1","73.3","71.1","61.9","55.2"
"Gabon","91.0","90.1","89.1","88.0","85.7","80.1","69.1","54.7","32.0","17.4","11.4"
"Gambia","71.3","68.7","66.0","62.3","56.3","47.9","38.3","28.4","19.5","12.1","10.3"
"Georgia","66.0","61.8","57.7","54.7","52.9","52.6","55.0","52.5","48.0","43.1","36.9"
"Germany","83.0","80.9","78.6","76.4","74.3","73.1","73.1","72.8","72.3","71.4","68.1"
"Ghana","70.5","66.8","62.6","57.2","50.7","43.9","36.4","31.2","29.0","23.3","15.4"
"Greece","85.8","84.1","82.1","79.5","76.3","72.7","71.5","69.3","64.2","55.9","52.2"
"Grenada","44.0","40.6","37.5","35.9","35.7","35.9","33.4","32.9","32.2","30.3","28.5"
"Guatemala","67.3","63.0","58.6","53.9","49.3","45.1","41.1","37.4","35.5","31.1","25.1"
"Guinea","56.3","50.7","45.1","39.7","34.9","31.0","28.0","23.6","16.0","10.5","6.7"
"Guinea-Bissau","64.7","61.8","58.4","52.9","45.2","36.7","28.1","17.6","15.1","13.6","10.0"
"Guyana","38.5","35.1","31.8","29.2","28.2","28.7","29.6","30.5","29.4","29.0","28.0"
"Haiti","76.2","73.1","69.7","63.8","52.0","35.6","28.5","20.5","19.8","15.6","12.2"
"Honduras","70.4","66.6","62.6","57.6","51.7","45.5","40.5","34.9","28.9","22.7","17.6"
"Hungary","81.8","79.6","76.9","73.4","68.9","64.6","65.8","64.2","60.1","55.9","53.0"
"Iceland","96.1","95.7","95.2","94.6","93.6","92.4","90.8","88.3","84.9","80.3","72.8"
"India","50.3","44.8","39.5","34.8","30.9","27.7","25.5","23.1","19.8","17.9","17.0"
"Indonesia","70.9","67.2","63.0","57.2","49.9","42.0","30.6","22.1","17.1","14.6","12.4"
"Iran (Islamic Republic of)","83.9","81.9","79.4","75.7","70.6","64.0","56.3","49.7","41.2","33.7","27.5"
"Iraq","78.0","75.2","72.4","70.2","69.0","68.5","69.7","65.5","56.2","42.9","35.1"
"Ireland","74.6","71.4","68.0","64.8","61.8","59.1","56.9","55.3","51.7","45.8","40.1"
"Israel","94.5","93.8","93.2","92.5","91.8","91.2","90.4","88.6","84.2","76.8","71.0"
"Italy","77.7","74.9","72.1","69.8","68.3","67.2","66.7","66.6","64.3","59.4","54.1"
"Jamaica","67.7","63.6","59.5","56.1","53.7","51.8","49.4","46.7","41.3","33.8","24.1"
"Japan","97.7","97.4","96.9","95.3","90.5","78.6","77.3","76.2","71.9","63.3","53.4"
"Jordan","89.3","88.1","86.6","84.8","82.5","79.8","73.3","60.0","56.0","50.9","37.0"
"Kazakhstan","64.6","60.1","55.8","53.4","53.7","55.7","56.3","54.1","50.2","44.2","36.4"
"Kenya","43.9","38.2","32.8","27.9","23.6","19.9","16.7","15.6","10.3","7.4","5.6"
"Kiribati","54.5","51.1","47.8","45.1","43.8","43.0","35.0","32.3","24.1","16.3","11.0"
